Name,Business,Location,Type,Loc in Market,Full Address (probably),Latitude,Longitude
Henry the Hatter,District Business,In Detroit,Unspecified,2472 Riopelle,"2472 Riopelle, Detroit, MI 48207",42.346384,-83.038095
Strauss Brothers,District Business,In Detroit,Unspecified,2479 Riopelle,"2479 Riopelle, Detroit, MI 48207",42.346033,-83.038398
Rocky's Historic Eastern Market,District Business,In Detroit,Unspecified,2489 Russell St,"2489 Russell St, Detroit, MI 48207",42.345686,-83.040387
Berry & Sons Islamic Slaughter House,District Business,In Detroit,Unspecified,2496 Orleans St,"2496 Orleans St, Detroit, MI 48207",42.347072,-83.03685
E.W. Grobbel Sons. Inc.,District Business,In Detroit,Unspecified,2500 Orleans,"2500 Orleans, Detroit, MI 48207",42.347262,-83.036862
Jab's Gym,District Business,In Detroit,Unspecified,2501 Russell,"2501 Russell, Detroit, MI 48207",42.345974,-83.040578
Beyond Juicery + Eatery,District Business,In Detroit,Dine,2501 Russell St,"2501 Russell St, Detroit, MI 48207",42.345974,-83.040578
Brooklyn Outdoor,District Business,In Detroit,Unspecified,2501 Russell St,"2501 Russell St, Detroit, MI 48207",42.345974,-83.040578
Germack Pistachio Company,District Business,In Detroit,Dine,2509 Russell St,"2509 Russell St, Detroit, MI 48207",42.346095,-83.040655
Viva La Vida Imports,District Business,In Detroit,Unspecified,2510 Market,"2510 Market, Detroit, MI 48207",42.346582,-83.039173
Jose's Tacos,District Business,In Detroit,Dine,2510 Market St,"2510 Market St, Detroit, MI 48207",42.346582,-83.039173
Eastern Market Brewing Company,District Business,In Detroit,Dine,2515 Riopelle,"2515 Riopelle, Detroit, MI 48207",42.346702,-83.038855
Germack Coffee Roasting,District Business,In Detroit,Dine,2517 Russell St,"2517 Russell St, Detroit, MI 48207",42.346101,-83.040651
iHeartRadio,District Business,In Detroit,Other,2529 Orleans,"2529 Orleans, Detroit, MI 48207",42.347372,-83.037808
Wolverine Packing Company,District Business,In Detroit,Unspecified,2535 Rivard,"2535 Rivard, Detroit, MI 48207",42.345481,-83.042518
Farmer Frank's,District Business,In Detroit,Dine,2542 Market St,"2542 Market St, Detroit, MI 48207",42.346844,-83.039248
E&H Packing,District Business,In Detroit,Unspecified,2543 Riopelle,"2543 Riopelle, Detroit, MI 48207",42.34671,-83.038826
Art Park Eastern Market,District Business,In Detroit,Art,2601 Gratiot,"2601 Gratiot, Detroit, MI 48207",42.352912,-83.032103
Barber Station Detroit,District Business,In Detroit,Unspecified,2601 Gratiot,"2601 Gratiot, Detroit, MI 48207",42.352912,-83.032103
Mitsos Greek Food & Coffee,District Business,In Detroit,Dine,2614 Riopelle,"2614 Riopelle, Detroit, MI 48207",42.347441,-83.038936
Twinn Spice & Nut,District Business,In Detroit,Unspecified,2614 Riopelle,"2614 Riopelle, Detroit, MI 48207",42.347441,-83.038936
Detroit Wholesale Produce,District Business,In Detroit,Unspecified,2614 Riopelle St,"2614 Riopelle St, Detroit, MI 48207",42.347441,-83.038936
Essential Screen Printing (ESP),District Business,In Detroit,Art,2630 Orleans,"2630 Orleans, Detroit, MI 48207",42.34839,-83.037486
Kap's Retail Food Services. Inc.,District Business,In Detroit,Unspecified,2630 Riopelle St,"2630 Riopelle St, Detroit, MI 48207",42.347716,-83.039167
Cutter's Bar & Grill,District Business,In Detroit,Dine,2638 Orleans St,"2638 Orleans St, Detroit, MI 48207",42.348373,-83.037704
Savvy Chic,District Business,In Detroit,Unspecified,2712 Riopelle,"2712 Riopelle, Detroit, MI 48207",42.348193,-83.039466
Cook Like a Boss,District Business,In Detroit,Unspecified,2714 Riopelle,"2714 Riopelle, Detroit, MI 48207",42.348053,-83.039376
Detroit Sausage Company,District Business,In Detroit,Unspecified,2715 St Aubin St,"2715 St Aubin St, Detroit, MI 48207",42.349725,-83.034931
Eastern Market Produce,District Business,In Detroit,Produce,2726 Riopelle St,"2726 Riopelle St, Detroit, MI 48207",42.348333,-83.039567
Bert's Market Place,District Business,In Detroit,Dine,2727-2739 Russell St,"2727-2739 Russell St, Detroit, MI 48207",42.347338,-83.041735
Mahi Foods Inc.,District Business,In Detroit,Other,2730 Orleans,"2730 Orleans, Detroit, MI 48207",42.348919,-83.038053
Motown Bistro,District Business,In Detroit,Dine,2735 Russell,"2735 Russell, Detroit, MI 48207",42.347221,-83.042003
Paradise Valley Gallery Store,District Business,In Detroit,Unspecified,2739 Russell,"2739 Russell, Detroit, MI 48207",42.347338,-83.041735
Dugagjini Meats,District Business,In Detroit,Unspecified,2800 Riopelle St,"2800 Riopelle St, Detroit, MI 48207",42.348773,-83.039861
Jamjomar,District Business,In Detroit,Other,2802 St. Aubin St,"2802 St. Aubin St, Detroit, MI 48207",42.350501,-83.034817
Saad Wholesale Meats,District Business,In Detroit,Unspecified,2814 Orleans St,"2814 Orleans St, Detroit, MI 48207",42.349387,-83.038353
Louisiana Creole Gumbo,District Business,In Detroit,Unspecified,2830 Gratiot,"2830 Gratiot, Detroit, MI 48207",42.35458,-83.030281
Playground Detroit,District Business,In Detroit,Art,2845 Gratiot,"2845 Gratiot, Detroit, MI 48207",42.355046,-83.030761
Ernst Meats and Seafood,District Business,In Detroit,Unspecified,2888 Riopelle,"2888 Riopelle, Detroit, MI 48207",42.349125,-83.039943
Del Bene Produce,District Business,In Detroit,Produce,2900 Rivard,"2900 Rivard, Detroit, MI 48207",42.348219,-83.042983
LKL Packing. Inc.,District Business,In Detroit,Unspecified,2920 Riopelle St,"2920 Riopelle St, Detroit, MI 48207",42.34966,-83.040297
Team Wellness,District Business,In Detroit,Unspecified,2925 Russell,"2925 Russell, Detroit, MI 48207",42.348139,-83.042069
Al's Fish. Seafood & Chicken,District Business,In Detroit,Unspecified,2925 Russell St.,"2925 Russell St., Detroit, MI 48207",42.348139,-83.042069
Mr Foods Meat Market & Deli,District Business,In Detroit,Unspecified,2931 Russell St,"2931 Russell St, Detroit, MI 48207",42.348718,-83.042449
Joe's Liquor & Wine Shoppe,District Business,In Detroit,Unspecified,2933 Russell St,"2933 Russell St, Detroit, MI 48207",42.348718,-83.042449
Detroit Segways,District Business,In Detroit,Unspecified,2934 Russell,"2934 Russell, Detroit, MI 48207",42.348437,-83.040959
Eastern Market Partnership,District Business,In Detroit,Unspecified,2934 Russell,"2934 Russell, Detroit, MI 48207",42.348437,-83.040959
Wolverine Furs,District Business,In Detroit,Unspecified,2937 Russell St,"2937 Russell St, Detroit, MI 48207",42.348718,-83.042449
Kay's Food Supply,District Business,In Detroit,Unspecified,2939 Russell St,"2939 Russell St, Detroit, MI 48207",42.348718,-83.042449
Chase Bank,District Business,In Detroit,Unspecified,2941 Russell,"2941 Russell, Detroit, MI 48207",42.348718,-83.042449
R. Hirt Jr.. Co.,District Business,In Detroit,Unspecified,3000 Chrysler,"3000 Chrysler, Detroit, MI 48207",42.348726,-83.044737
Lopiccolo Bros. Produce,District Business,In Detroit,Unspecified,3110 Rivard,"3110 Rivard, Detroit, MI 48207",42.349738,-83.043926
H & S Produce. Inc,District Business,In Detroit,Produce,3111 Russell St,"3111 Russell St, Detroit, MI 48207",42.349985,-83.043448
Thomas Produce,District Business,In Detroit,Produce,3111 Russell St,"3111 Russell St, Detroit, MI 48207",42.349985,-83.043448
Marybelle's Cache,District Business,In Detroit,Dine,3400 Russell,"3400 Russell, Detroit, MI 48207",42.35054,-83.042948
Tillman & Tillman PLLC,District Business,In Detroit,Unspecified,3400 Russell St,"3400 Russell St, Detroit, MI 48207",42.35054,-83.042948
Amore Da Roma,District Business,In Detroit,Dine,3401 Riopelle St,"3401 Riopelle St, Detroit, MI 48207",42.350936,-83.04179
Frank's Deli & Grill Restaurant,District Business,In Detroit,Dine,3405 Russell St,"3405 Russell St, Detroit, MI 48207",42.3505,-83.044023
FranksproduceII,District Business,In Detroit,Produce,3425 Russell St,"3425 Russell St, Detroit, MI 48207",42.3505,-83.044023
The Eastern,District Business,In Detroit,Unspecified,3434 Russell,"3434 Russell, Detroit, MI 48207",42.350993,-83.042939
The Loft Warehouse,District Business,In Detroit,Unspecified,3434 Russell,"3434 Russell, Detroit, MI 48207",42.350993,-83.042939
Wasserman Projects,District Business,In Detroit,Art,3434 Russell,"3434 Russell, Detroit, MI 48207",42.350993,-83.042939
FD Lofts,District Business,In Detroit,Other,3434 Russell St,"3434 Russell St, Detroit, MI 48207",42.350993,-83.042939
Free Age (Production Studio),District Business,In Detroit,Unspecified,3434 Russell St,"3434 Russell St, Detroit, MI 48207",42.350993,-83.042939
Law Offices of Nacole Evans,District Business,In Detroit,Unspecified,3434 Russell St,"3434 Russell St, Detroit, MI 48207",42.350993,-83.042939
Shed 7 Wholesale Market,District Business,In Detroit,Unspecified,3445 Russell,"3445 Russell, Detroit, MI 48207",42.350808,-83.044324
Dyno Detroit,District Business,In Detroit,Other,3500 Orleans,"3500 Orleans, Detroit, MI 48207",42.352493,-83.040782
Milano Bakery,District Business,In Detroit,Baked Goods,3500 Russel St,"3500 Russel St, Detroit, MI 48207",42.35242,-83.043831
Caramagno Foods Co.,District Business,In Detroit,Unspecified,3520 Rivard,"3520 Rivard, Detroit, MI 48207",42.351607,-83.044849
Louie's Ham & Corned Beef,District Business,In Detroit,Dine,3570 Riopelle St,"3570 Riopelle St, Detroit, MI 48207",42.353171,-83.042411
Moetown Cobbler,District Business,In Detroit,Unspecified,Shed 4,"Shed 4, Detroit, MI 48207",42.170117,-83.175304
A&H Produce,Market Vendor,In Detroit,Produce,,", Detroit, MI 48207",,
AC's Produce,Market Vendor,Unspecified,Produce,,", Detroit, MI 48207",,
Adamah Farm Central,Market Vendor,In Detroit,Other,,", Detroit, MI 48207",,
AK's Hidden Gems,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
Alan Brandt Farms,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Alex Block Produce,Market Vendor,Unspecified,Flowers,,", Detroit, MI 48207",,
Amadore Beverage,Market Vendor,In Michigan,Other,,", Detroit, MI 48207",,
Amazing Apparel II,Market Vendor,Unspecified,Unspecified,,", Detroit, MI 48207",,
Ann Bondy Farms,Market Vendor,Other,Flowers,,", Detroit, MI 48207",,
Ariya's Apparel and Accessories,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Art Stone Creations,Market Vendor,In Michigan,Dine,,", Detroit, MI 48207",,
Aruba Freeze,Market Vendor,In Michigan,Dine,,", Detroit, MI 48207",,
Aunt Nee's,Market Vendor,In Detroit,Other,,", Detroit, MI 48207",,
Awanya,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Banotai Greenhouse,Market Vendor,In Michigan,Flowers,,", Detroit, MI 48207",,
Bebop Shop,Market Vendor,Unspecified,Unspecified,,", Detroit, MI 48207",,
Bee's Sweet Treats,Market Vendor,Other,Dine,,", Detroit, MI 48207",,
Beignets LLC,Market Vendor,Unspecified,Dine,,", Detroit, MI 48207",,
Bert's Produce,Market Vendor,In Michigan,Produce,,", Detroit, MI 48207",,
Better Option Foods | Formally Lady Jane Gormet Seed Co Cousin Mary Jane,Market Vendor,In Michigan,Other,,", Detroit, MI 48207",,
Bevs Fashion,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Big Black Food Trailer,Market Vendor,In Detroit,Dine,,", Detroit, MI 48207",,
Big Bo's Food Service,Market Vendor,In Michigan,Dine,,", Detroit, MI 48207",,
Boardwalk Kitchen LLC,Market Vendor,In Michigan,Other,,", Detroit, MI 48207",,
Bon Bon Bon,Market Vendor,In Michigan,Other,,", Detroit, MI 48207",,
Bow-Aholic Bowtique,Market Vendor,In Detroit,Unspecified,,", Detroit, MI 48207",,
Brendan Bielat Greenhouses. LLC,Market Vendor,In Michigan,Flowers,,", Detroit, MI 48207",,
Bring out the You,Market Vendor,Unspecified,Unspecified,,", Detroit, MI 48207",,
Brother Nature Produce,Market Vendor,In Detroit,Produce,,", Detroit, MI 48207",,
Bucu Farm,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Burda's Berries,Market Vendor,In Michigan,Produce,,", Detroit, MI 48207",,
C&L Farm,Market Vendor,In Michigan,Unspecified,,", Detroit, MI 48207",,
Canton Floral,Market Vendor,Unspecified,Flowers,,", Detroit, MI 48207",,
Carlsons' Greenhouse,Market Vendor,In Michigan,Flowers,,", Detroit, MI 48207",,
CFranks,Market Vendor,Unspecified,Unspecified,,", Detroit, MI 48207",,
